Abbreviation,Main Keywords
rrjom,Prevention and Treatment of illness; Medical Technology; Health Sciences; Biomedical research; Diagnosis & Treatment of disease; Medication; Surgeries & Therapies; Health care systems; Medical Specialties; Community Health; Medical Informatics; Communicable diseases
rrjomst,Health Care; General & Critical Care Medicine; Physiology; General physiological processes; Medical Microbiology; Healthcare Products; Public Health; Surgical or Operation Theater Technology; Medical Laboratory Technology; Biomedical Engineering; Plastic Surgery Technology; Radiological Sciences; Digital Health and Telemedicine; Artificial Intelligence and Machine Learning in Medicine; Wearable Health Technology and Remote Monitoring; Genomics and Personalized Medicine; Healthcare Systems Engineering and Informatics; Public Health Policy and Global Health Initiatives
rrjons,Behavioral and Cognitive Neuroscience; Cellular and Molecular Neuroscience; Clinical Neuroscience and Neuropathology; Computational Neuroscience and Neuroinformatics; Neuroanatomy; Neuroimaging and Neuroradiology; Neuroimmunology; Neurology case report; Neuromedicine; Neuropharmacology and neurochemistry; Neurophysiology and System Neuroscience; Neuropsychology; Neurotheology; Nutritional Neuroscience
,"Audiology; Cardiovascular technology; Clinical chiropractic; Clinical laboratory technology; Health economics; Healthcare System and Health Policy; Interdisciplinary clinical studies, assessment, and outcomes; Medical Laboratory Sciences; Nutrition and dietetics; Occupational therapy; Osteopathy; Physician; Psychology; Radiology and ultrasound technology; Speech and language therapy; Surgical technology"
,Drug delivery system; Drug development system; Drug discovery and design; Formulation research; International drug regulatory affairs; Pharmacodynamics and Pharmacokinetics; Process Engineering; Pharmacognosy; Quality control and Quality Assurance
rrjoast,Agricultural economics; Agricultural Engineering; Agricultural Entomology; Horticulture Crops; Agricultural Chemistry; Soil Science; Agriculture Biotechnology; Agriculture Microbiology; Agriculture Genetics; Agronomy; Agricultural Meteorology; Agro technology; Agro-ecology
,"Quantum mechanics; Continuum mechanics, carbon steels; Biomechanics, Gas Turbines; Analysis and concept of machine and structural components; Experimental Stress Analysis; Multibody dynamics; Quantitative Nondestructive Evaluation with Computational Inverse Methods"
rrjobi,"Bioinformatic tools; Biological algorithm development and implementation; Biological Network Analysis; Biological software design and development; Biomarker identification; Biomedical Data Engineering, Databases, and Data Mining; Cancer Informatics and Medical Informatics; Computational Biology and System Biology; Computational Genomics, Proteomics and Metabolomics; Drug Designing; Evolutionary Bioinformatics and Phylogenetic Analysis; In-Silico Technology and Synthetic Biology; Integrative Bioinformatics; Medical Informatics; Molecular Modeling and dynamics"
rrjod,Dental Anatomy; Prosthodontology and Dental Anesthesiology; Oral and Maxillofacial Surgery; Orthodontics; Restorative Dentistry; Dental Radiography; Forensic Odontology; Geriatric Dentistry; Veterinary Dentistry; Dental Public Health (Policies Related to Oral Health)
joeam,Fluid Mechanics; Analytical Mechanics; Computational Mechanics; Solid Mechanics; Continuum Mechanics; Thermo Mechanics; Experimental Mechanics
,Thermodynamics; Gas Turbines; Petrochemical Processing; Thermal Solar Systems; Nano-Fluids; Thermal Transfer Systems; Heat Exchangers; Transition to Turbulence; Satellite Meteorology; Combustion Systems
rrjooh,Radiation Oncology; Surgical Oncology; Medical Oncology; Interventional Oncology; Gynecologic Oncology; Pediatric Oncology; AllergoOncology; Clinical Oncology; Ocular Oncology; Hematology; Leukocytes and Hematopoiesis; Hemostasis; Thrombosis and Vascular Biology; Hematological Malignancies; Transplantation; Cell Therapy
rrjos,"General Surgery, Cardiothoracic Surgery, and Vascular Surgery; Plastic Surgery, Pediatric Surgery, and Colorectal Surgery; Transplant Surgery and Trauma Surgery; Endocrine Surgery and Breast Surgery; Otolaryngology, Gynecology, Oral & Maxillofacial Surgery; Orthopedic Surgery and Neurosurgery; Podiatric Surgery and Urology; Plastic or Cosmetic Surgery; Laser Surgery; Post Operative Care; Arthroscopy; Modern Surgery; Breast Imaging and Diagnostic Radiology in Oncology; Onco-epidemiology and Risk Stratification Studies; Molecular and Histopathological Correlations in Cancer Diagnostics; Preventive Oncology and Screening Research; s Oncology and Gender-specific Risk Analysis"
rrjot,"Toxicity, Mechanisms, and Health Effects; Biological Toxicology; Xenobiotics and Foreign Toxins; Environmental Toxicology; Industrial Toxicology; Ecotoxicology; Entomotoxicology; Forensic/Medical Toxicology; Marine/Aquatic Toxicology; Molecular Toxicology; Toxicogenomics; Safety Evaluation and Risk Assessment; Pharmaceutics and Pharmacology"
,"Electromechanical modeling; Micro-electromechanical systems; switches, piezoelectric devices, and Relay; Microcontroller circuit; Electronics Engineering, Electrical Engineering; Mechanical/Magnetic behavior and testing of metals; Elasticity, Plasticity, and failure; al behavior of metals, ceramics, polymers, fibers, and composite, Design and fabrication of materials; Sophisticated motion control and hand-held electronic/photographic devices"
ijlpa,Landscape Planning; font-weight; Cultural Landscapes; Landscape Ecology; padding-top; padding-bottom; font-size
joayush,Ayurveda; Yoga; Hatha yoga; Karma yoga; Kundalini yoga; Unani; Siddha; Homeopathy; Treatment with traditional medicines; Naturopathy
,"Electrical Circuits, Devices, and Machines; Electrical AC/DC Motors and Machines; High-Low Voltage Machines and Its Application; Future Energy Generation; Power Converters and Inverters; Electrical Machinery and Automation; Electromechanical Devices and Machines; Robotics Electrical Machines and Technology; Motion Control, Motors, and Devices; Nano and Bio-electrical Systems"
rrjoasyn,Ayurveda; Yoga; Kaya Chikitsa; Shalya Tantra; Kaumarbhritya; Agad Tantra; Rasayan; Vajikaran; Panchkarma; Naturopathy
,Plant Cell; Cell migration; Cell Communication; Cell mechanism; Gene Regulation; Cellular senescence; Cell-Matrix Interaction; Cell Disruption; Signal transduction
rrjopc,"Ethnopharmacology; Marine Pharmacognosy; Mechanistic studies; Medicinal Plant Research; chnological methods, generative and vegetative propagation of artificial seeds, sources of variations; plant growth and cultivation of medicinal plants; rrigation, phytopathology, plant protection, harvesting, organic cultivation, post-harvest processing; Quality; authentication, quality management systems, methods of quality determination, Economics; Natural product discovery and evaluation; Pharmaceutical Biotechnology; Phytochemistry; Plant Metabolomics; Quality assurance and quality control; Chemical profiling, multivariate analysis, WHO good manufacturing practices; main principles for pharmaceutical products, Quality management in the drug industry; harmaceutical dosage forms Validation, Water for pharmaceutical use, WHO good manufacturing practices; tical ingredients (bulk drug substances), Pharmaceutical excipients, WHO good manufacturing practices; ents for national good manufacturing practice inspectorates, Guidance on good manufacturing practices; Green Synthesis and Transformation studies"
,"VLSI Design, Technology, and Applications; Switch level; Analog Circuit; Digital Circuit; Mixed and RF Circuit; Mixed-domain Simulation and Design; Formal Verification; Embedded Systems; Emerging Devices; MOSFET Transistors; Digital Communication; Audio-Amplifiers, FM Radios, Logic Blocks, and Regulators"
rrjoush,Regimental Therapy; Unani System of Medicine; Gunapadam; Isopathy; Electrohomeopathy; Unani; Siddha; Homeopathy; Oriental systems of Medicine; Siddha Pharmacology
ijepms,Electromagnetics and Energy Conversion; AC Systems and 3 Phase Circuits; Synchronous Machines; Adjustable Torque Drives; DC and AC electric motor drives; Electric Motor Drives; Motor controller algorithm; Microcontroller or digital signal processor; Fault protection and diagnostics
ijemad,"Electrical Circuits, Devices, and Machines; Electrical AC/DC Motors and Machines; High-Low Voltage Machines and Its Application; Future Energy Generation; Power Converters and Inverters; Electrical Machinery and Automation; Electromechanical Devices and Machines; Robotics Electrical Machines and Technology; Motion Control, Motors, and Devices; Nano and Bio-electrical Systems"
ijecet,"Electronic design automation; RF/Photonics; Microelectronics; Electromagnetics; Lightwave Engineering; Biomedical Signal Processing; Communication Systems; Control Systems; Digital Signal Processing; Image Processing & Computer Vision; Instrumentation, Multimedia Security; Power Electronics and Power Systems"
ijadar,Divide and conquer; Dynamic programming; Greedy algorithms; Backtracking; Algorithmic languages; Amortized analysis; Linear programming; Linear-time sorting; Advanced algorithm design; Randomized algorithms
ijacse,"Automatic Feedback Control Systems; Communications & Control Systems; Embedded Control Systems; Adaptive Control Techniques; Real-Time and Fault Tolerant Systems; Open and Closed Loop Control Systems; Large Scale Control Systems; Intelligent Sensing Control Systems; Power System Control; Digital and Analogue Control; Motion and Navigation Control; Temporal and Spectral System Analysis; Computer-Aided Design and Control Systems; Control Systems, Instrumentation, and Robotics; Control System Tools & Technology; MATLAB Modeling and Simulation; Emerging Applications in Control Systems and Engineering"
ijcbcf,Cellular microbiology; Cell Biology; Plant Cell; Cell migration; Cell Communication; Cell mechanism; Gene Regulation; Cellular senescence; Cell-Matrix Interaction; Cell Disruption; Cytotoxic; Tissue Engineering; Signal transduction
ijise,Information Security and Risk Management; Ethical Hacking; Operating System Security; Windows Security; Object-oriented Design; Security Architecture; Computer Forensics; Reverse Engineering; Web Application Penetration Testing; Compliance and Operational Security; Threats and Vulnerabilities; Access control and Identity Management; Cryptography
ijcsl,"Distributed Computing; Computer networks and network security; Web services composition; Cryptology; Validation, verification, coding, testing, maintenance, metrics, and renovation of software; Design, implementation and Design, implementation, and evaluation of programming languages; Programming environments; Development tools, visualization, and animation; Human factors in software; Operating systems, system administration, and network management"
ijmct,Smartphones; In-vehicle computing and fleet computing; Mobile ad hoc networks; Mobile computing and communications; Mobile cloud computing; Mobile device management; Mobile software; Positioning and tracking technologies
,Wireless threats; Signal-hiding; Wireless vulnerabilities; Securing wireless transmissions; Network auditing; Wireless public key infrastructure; Electromagnetic shielding
ijdss,Fundamental data structures; Recursive algorithms; Dynamic information structures; Language structures and compilers; ASCII character set; Pascal syntax diagrams; Advanced data structures and algorithms; B-trees; Array data structure
ijepda,font-size; line-height; text-align; Environmental Planning; Land Use Planning and Management; Environmental impact assessment and mitigation; Climate change adaptation and resilience planning; Development Architecture; Green building technologies and materials; padding-top; padding-bottom; font-weight
,"Aerodynamics; Nonlinear dynamics, structural dynamics; System Dynamics; Structural dynamics; Computational fluid dynamics, Intelligent Machine; Nonlinear Dynamics and Network Dynamics; Condensed Matter Dynamics; Quantum Condensed Matter Dynamics; Ultrafast Electron Dynamics"
ijemb,
ijmdsa,"Aerodynamics; Nonlinear dynamics, structural dynamics; System Dynamics; Structural dynamics; Computational fluid dynamics, Intelligent Machine; Nonlinear Dynamics and Network Dynamics; Condensed Matter Dynamics; Quantum Condensed Matter Dynamics; Ultrafast Electron Dynamics"
ijbbr,Molecular Enzymology; Bioreactor Engineering; Biochemical Reactions; Crystallography; Spectroscopy; Metabolomics; Thermodynamics; Transcriptomics; Enzymology
ijipde,"Operations research and optimization techniques; Supply chain management and logistics; Systems simulation and stochastic processes; Statistical process control or quality control; Predetermined motion time system; Productivity improvement; Quality assurance, and inventory control; System and personnel safety; Value analysis"
ijmbr,Monoclonal Antibodies; Molecular Microbiology; Bacteriology; DNA Replication; Molecular Enzymology; Molecular markers; Therapeutic Agents; Transgenic species; Metagenomics; Therapeutic proteins; Structural Genomics
ijbcb,"Bioinformatics, Biophysics, and Biostatistics; Computational and Statistical Genetics; System Biology; Molecular Biology and Biochemistry; Genomics and Proteomics; Mathematical Biology; Network Biology; Medical Informatics; Biomarker Discovery and Mass-Spectrometry; Organization and Drug Designing Tools for Development Analysis; Parallel Computation, Linking Disparate Databases, Data Mining; Biological Software Design and Development; Computational Biomodelling (Molecular Modelling); Biological Algorithms Development and Implementation; Multiple Sequence Alignment and Biological Databases Development"
ijgmr,"Gene patents; Genetic Diseases; DNA Recombination; Restriction Endonucleases; Polymerase Chain Reactions; phates), RT-PCR, Reverse Transcriptase, Limitations of PCR and RT-PCR, PCR buffers, Required cofactor; Gene Cloning; Paratransgenesis; Mutation"
ijram,"Feedback controllers, Cognitive Automation; Industrial Automation; Agent Assisted Automation; Bulk Material Handling, Warehouse; Automated Storage and Retrieval System; Pallet, Slip sheet, Electric track vehicle system; PLC Programming; Transport Equipment; Position Equipment, Taguchi technique, ANOVA System; Hoists, Balancers, manipulators, Industrial Robots; Machine safety systems"
ijeta,"Thermodynamic Equilibrium, Non-Equilibrium; Thermodynamic systems and processes, thermal management/control; Heating and cooling technologies; Energy Transformations; Classical, statistical, chemical, Atmospheric, Biological Thermodynamics; Thermodynamic properties and relations; Thermal interface materials; Thermoeconomics"
ijmpe,"Production planning and control, workforce skills; Casting trend and different machining technology; Tool and precision engineering, Manufacturing Technology, Genetic Algorithm; Metrology and inspection; Automation and rapid manufacturing, Productivity Enhancement; Maintenance Engineering and Tribology, SMEs; Reliability and quality engineering, Genetic Algorithm"
ijppc,Limitation of emissions of volatile organic compounds; Industrial chemical discharges; API oil-water separators; Biofilters; Dissolved air flotation; Powdered activated carbon treatment; Ultrafiltration; Activated sludge biothreats; Wastewater quality indicators; Sustainable Industrial Design; Remediation Technologies; AI and Emerging Technologies for Pollution Prevention and Control
ijcm,Crystal Growth and Nucleation; Crystal Structure Determination; Crystal Defects and Their Characterization; Crystallography and Crystal Optics; Synthesis and Processing of Crystalline Materials; Properties of Crystalline Materials; Applications of Crystalline Materials; Simulation and Modeling of Crystalline Materials; Keywords
ijc,Child Development; font-weight; Child Health; Child Education; Child Protection; Child Rights; Keywords; list-style-type
ijmi,Mineralogy; Geochemistry; Petrology; Mineral exploration; Mineralogy and crystallography; Mineral exploration and mining; Applied mineralogy; Keywords
,"Sensor design, fabrication, and characterization; font-weight; Sensor materials and technologies; Sensor systems and instrumentation; Sensor data processing and analysis; Sensor applications; Keywords"
ijn,Macronutrients and micronutrients; Nutritional biochemistry; Nutritional epidemiology; Nutritional interventions; Nutritional assessment; Nutritional education and communication; Global nutrition; Nutritional policy; Keywords
,font-weight; Analytical methods and techniques; Food quality and safety; Food authenticity and traceability; Food processing and packaging; Nutritional analysis; Sensory analysis; Data analysis and modeling; Keywords
ijvs,Viral Pathogenesis; Viral Epidemiology and Surveillance; Viral Diagnostics; Antiviral Therapeutics; Viral Vaccinology; Immunology of Viral Infections; Zoonotic Viruses; Emerging and Reemerging Viral Infections; Viral Genomics and Molecular Biology; Virus-Host Interactions; Viral Bioinformatics; Viral Evolution and Phylogenetics; Keywords
ijfs,list-style-type; font-weight; Forest ecology and biodiversity; Forest management and conservation; Forest genetics and tree breeding; Forest biotechnology and molecular biology; Forest products and industries; Forest economics and policy; Forest carbon and climate change; Forest fires and disturbances; Forest restoration and rehabilitation; Forest education and extension; Keywords
ijat,Atmospheric physics and chemistry; Meteorology and climatology; Atmospheric modeling; Atmospheric remote sensing; Air quality and pollution; Atmospheric boundary layer; Keywords
ijpg,"Pathogenesis and virulence mechanisms of infectious agents; Epidemiology and transmission of infectious diseases; Host-pathogen interactions and immune responses to pathogens; Diagnosis, treatment, and prevention of infectious diseases; Emerging and re-emerging infectious diseases; Antimicrobial resistance and antimicrobial stewardship; Vaccines and vaccine development for infectious diseases; Molecular biology and genetics of infectious agents; Pathology and pathophysiology of infectious diseases; Public health and global health issues related to infectious diseases; Keywords"
ijtn,"font-weight; Toxin production by microorganisms, plants, and animals; Toxicity mechanisms and toxicokinetics of toxins; Toxicological effects of environmental toxins on human and animal health; oxins using advanced analytical techniques, such as mass spectrometry, chromatography, and biosensors; Bioremediation and detoxification of toxic compounds; Risk assessment and management of toxic substances; Regulatory frameworks for the control of toxins in food, water, and other environmental matrices; Novel approaches for the prevention and treatment of toxin-related diseases"
ijbs,Cognitive neuroscience; Behavioral neuroscience; Neuroimaging and neurophysiology; Neuropsychology and clinical neuropsychology; Neuropharmacology and drug development; Developmental neuroscience; Neuroplasticity and neurorehabilitation; Neurobiology and genetics; Neurodegeneration and neurodegenerative diseases; Neuropsychiatry and clinical neurology
ijf,Taxonomy and Systematics; Genetics and Genomics; Ecology and Biodiversity; Physiology and Biochemistry; Biotechnology; Molecular Biology; Medical Mycology; Agricultural and Environmental Applications; Mushrooms; Yeasts; Molds; Pathogenic Fungi; Edible Fungi; Toxic Fungi; Anaerobic Respiration; Ethanol Production; Carbon Dioxide (CO2); Saccharomyces cerevisiae; Keywords
ijab,Antibiotic discovery and development; Antibiotic resistance and mechanisms of action; Antibiotic pharmacology and pharmacokinetics; Antimicrobial stewardship and antibiotic prescribing practices; Clinical trials and outcomes of antibiotic therapy; Epidemiology and surveillance of antibiotic-resistant infections; New technologies and approaches for antibiotic research and development; Veterinary and agricultural use of antibiotics; Alternative antimicrobial therapies and approaches; Keywords
ijarat,"Industrial Automation; Robotic Automation; Factory Automation; Hydraulics and Pneumatics, automotive coolants; Sequential control and logical sequence control; Manufacturing Automation, automatic machine, automatic blower; Distributed control and remote monitoring; Fault detection and isolation (FDI); Virtual instrumentation and control; Fieldbus technology and interfaces"
ijenpc,
,"font-weight; Physiological factors in Heart disease; Women and Cardiovascular Disease; Acute Coronary Syndrome; Cardiovascular care; Physiologic, Psychologic, and Social needs of Cardiovascular Patients; Epidemiology and Physiology; Cardiac Rehabilitation; Drug Therapy and Clinical Trials; Cardiovascular Surgery"
ijci,Keywords
ijtc,font-weight; Mechanisms of toxicity; Environmental toxicology; Occupational toxicology; Clinical toxicology; Food and chemical safety; Toxicology of natural products; Toxicogenomics and epigenetics; Keywords
ijtm,Epidemiology and control of tropical diseases; Emerging and re-emerging tropical diseases; Vector biology and control; Clinical tropical medicine; Immunology and vaccinology; One Health and Zoonoses; Health systems and policy; Keywords
,"font-weight; Vehicle Dynamics; Noise, Vibration, and Harshness Engineering; Fluid Dynamics and Aerodynamics; Automotive Diesel Engines; Vehicle Body Engineering; Engine Construction and Operation; Keywords"
ijrfi,"Radio Frequency oscillators; Transmitters and Transmission lines; Radio Frequency connectors; Antennas; Receivers and Tuners; Amplifiers; Modulators, demodulators, and detectors; Radio Frequency filters; Radio Frequency shielding and Ground plane; Radiofrequency module; GPS & GLONASS Modules"
ijea,Digital analog circuits; Integrated circuit; Microelectronics; Unconventional computing; Digital system and binary numbers; Asynchronous sequential logic; Digital Number System; Boolean Algebra and Logic Circuits; Digital Logic Gates; Digital Combinational Logic; Sequential Circuits; Digital Logic Families
rtc,Natural and organic products; Sustainable packaging; Innovative formulations; Emerging technologies; Beauty supplements; Keywords
ijsu,Environmental sustainability; Social sustainability; font-weight; Economic sustainability; Sustainable development; Keywords
ijvcdt,"CMOS technologies and SPICE Models; Stability and Noise issues in amplifiers; Frequency response; CMOS analog blocks; Current Sources and Voltage references; Differential amplifier, OPAMP, and OTA design; Frequency Synthesizers and Phased lock-loop; Non-linear analog blocks; Comparators, Charged-pump circuits, and Multipliers; Data converters; Analog Interconnects and Analog Testing and Layout; Low voltage and Low power Analog; Electronic design automation"
ijsrs,Specific Satellite Services; Space Surveillance Network; Weather and environmental monitoring; Mobile Satellite Services; Orbits and launches; Spacecraft technology; Ground equipment for GEO Satcom; VSAT Satellite Communication; Web-Based Services; Land survey data
iju,Observational and theoretical astrophysics; Cosmology; Exoplanets; Gravitational waves; High-energy astrophysics; Keywords
ijl,Land use and land cover change; Land governance and tenure; Land degradation and restoration; Land and natural resources; Land and climate change; Land and development; Land and conflict; Keywords
ijoir,Optical specifications; Geometrical optics principles; Optoelectronic technologies; Laser physics and atomic structure; Quantum optics; Optical lens design; Physics and lasers; Semiconductor properties; Optical design; Optical instrumentation; Optical meteorology
ijssir,Amorphous oxide semiconductors; Photovoltaics; Advanced materials for CMOS; Novel devices; Thin films; Crystal structure; Quasicrystals; Spin glasses; High-temperature superconductivity
rtss,"Latest trends in social studies; font-weight; Research, Developments, and Innovations in Social Studies; Change the understanding of Society and Human Behavior; Social Inequality; Cultural Diversity; Globalization; Impact of technology on social interactions; Pedagogical approaches and teaching methods; Keywords"
ijes,Educational psychology; font-weight; Curriculum and instruction; Assessment and evaluation; Educational technology; Teacher education and professional development; Education policy and leadership; International and comparative education; Keywords
ijm,Membrane materials; Membrane processes; Membrane characterization; Membrane applications; Membrane modeling and simulation; Keywords
etpm,"Personalized cancer treatment; Genetically personalized medicine; Pharmacogenomics-based personalized healthcare; Antibody-related diseases personalized medicine; Discovering drug targets and incorporating them into personalized therapy; Personalized Medicine in Cell Therapy; Bioinformatics personalized medicine; Nutrition and exercise personalized medicine; Neurological personalized medicine; Resources and Technology Advancements; Omics-based research on illness risk, prognosis, and treatment response; Identification and use of biomarkers; Personalization of non-drug related omics-based health interventions; Morality and regulations in personalized medicine"
rtid,Emerging and re-emerging infectious diseases; Zoonotic diseases; Climate change and infectious diseases; Antimicrobial resistance; Diagnosis and treatment; Bacterial Infectious Diseases; Keywords
,Real-Time Embedded Systems; Hybrid Embedded Systems; Serial Communication Interfaces; Synchronous Serial Communication Interface; Multi-Media Cards; Timers and Time Processing Units; Analog to Digital/Digital to Analog; Digital Systems Interfacing; Embedded computing and communication systems; Artificial intelligence
etsy,
ijv,Virology and immunity; Immune evasion; Types of Vaccines; Vaccinations for bioterrorism; Adolescent Health and Immunization; Vaccine R&D and Impact; Keywords
ijcc,"Focus and Scope; Climate change and its impacts on ecosystems, biodiversity, and natural resources; Climate modeling and forecasting; Climate Policy and Governance; Climate adaptation and mitigation strategies; Climate risk assessment and management; Impacts of extreme weather events on human societies, economies, and infrastructure; Climate-related health impacts and vulnerabilities; Impacts of climate change on food security and agriculture; Climate finance and investment; Climate education and communication; Keywords"
ijd,"Drone design, development, and control; Drone applications in agriculture, forestry, environment, and wildlife conservation; Drone-based sensing and data acquisition; Drone-based delivery and logistics; Drone-based communication networks and Swarm intelligence; Drone safety, security, and regulations; Drone-human interaction and social aspects of drones; Keywords"
ijbsc,font-weight; Social psychology; Cognitive psychology; Developmental psychology; Personality psychology; Clinical psychology; Neuropsychology; Psychophysiology; Behavioral neuroscience; Behavioral economics; Organizational behavior; Human resource management; Sociology; Anthropology; Political science; Communication studies; Keywords
ijml,font-weight; Taxonomy; Physiology; Ecology; Behavior; Genetics; Biotechnology; Fisheries; Aquaculture; Invertebrates; Vertebrates; Marine ecosystem processes; Primary Production; Nutrient Cycling; Biotic Interactions; Trophic Dynamics; Impacts of Climate; Impacts of anthropogenic activities; Freshwater ecosystems; Marine ecosystems; Interconnection; Phytoplankton; Zooplankton; Monitoring; Pond ecosystem; Planktonic Organisms; Zooplankton Organisms; Keywords
iji,"Insect Diversity and Taxonomy; Insect behavior, including mating behavior, foraging, and social behavior; Insect ecology, including interactions with other organisms and their environment; Insect physiology, including development, growth, and reproduction; Insect genetics and genomics, including molecular and cellular aspects; Insect Evolution and Phylogeny; pest management, including biological control, integrated pest management, and insecticide resistance; Insect conservation, including the protection of threatened species and their habitats; Insect-borne diseases, including the biology and control of disease vectors"
etm,Metabolite Biochemistry; Secondary Metabolites; Antioxidants; Metabolite Profiling; Metabolic Pathways; Metabolomics in Health and Disease; Metabolomics and Precision Medicine; Metabolites in Drug Discovery and Development; Environmental Metabolomics; Computational Metabolomics; Metabolite Engineering; Metabolomics in Agriculture and Food Science; Emerging Technologies and Methodologies; Keywords
ijthc,"Crop production and protection; Post-harvest management; Landscape horticulture; Plant Biotechnology; Environmental horticulture; Precision farming, sensor technology, and automation in horticulture; Sustainable agriculture, food security, and nutrition; s facing horticulture, including climate change, pests, and diseases, and their management strategies; Ornamental horticulture, pomology, olericulture, and medicinal horticulture; Economic aspects; Social aspects; Environmental aspects; Keywords"
ijame,"Biochemical Engineering; Catalytic Engineering; Chemical Reaction Engineering; Computational Methods in Chemical Engineering; Environmental Chemical Engineering; Materials Process Engineering; Microfluidic Engineering and Process Intensification; Separation Processes; Surface and Interface Engineering; Fundamental chemistry, biology, physics of molecular engineering; Cell and tissue engineering; Biomolecular Physics"
ijth,font-weight; Literature and Language Studies; Philosophy and Ethics; History and Archaeology; Culture and Society; Art and Architecture; Interdisciplinary Studies; Keywords
ijppr,Photoelectrochemical Processes; Photochemical and Photobiological Sciences; Photochemistry and Photobiology Fundamentals; Photochemical Logic and Advanced Photonic Systems; Plant Photoreceptor and Blue Light Systems; Etiolated and De-Etiolated Growth Patterns; Bioelectronics and Nanomedicine Applications; Environmental and Supramolecular Photochemistry
rtm,Pure Mathematics; Abstract algebra; Number theory; Real analysis; Topology; Applied Mathematics; Mathematical Modeling; Computational Mathematics; Numerical Analysis; Optimization; Differential Equations; Probability & Statistics; Probability Theory; Statistical Inference; Stochastic Processes; Data Analysis; Bayesian Methods; Geometry & Topology; Differential Geometry; Algebraic Topology; Geometric Analysis; Manifold Theory; Mathematical Physics; Quantum Mechanics; General Relativity; Mathematical Methods in Physics; Quantum Field Theory; Combinatorics & Discrete Mathematics; Graph Theory; Combinatorial Structures; Coding Theory; Discrete Optimization
ijbie,Medical Imaging and Signal Processing; Biomechanics and Biomaterials; Biomedical Instrumentation; Bioinformatics and Computational Biology; Biomedical Systems and Control; Medical Informatics and Health Information Systems; Neuroengineering and Neural Systems; Tissue Engineering and Regenerative Medicine
ijtt,"Focus and Scope; Mechanisms of toxicity; Environmental toxicology; Occupational toxicology; Clinical toxicology; Food and chemical safety; Toxicology of natural products; Toxicogenomics and epigenetics; Toxin production by microorganisms, plants, and animals; Toxicity mechanisms and toxicokinetics of toxins; Toxicological effects of environmental toxins on human and animal health; oxins using advanced analytical techniques, such as mass spectrometry, chromatography, and biosensors; Bioremediation and detoxification of toxic compounds; Risk assessment and management of toxic substances; Regulatory frameworks for the control of toxins in food, water, and other environmental matrices; Novel approaches for the prevention and treatment of toxin-related diseases"
ijfmds,"Elastic instability, Gross plastic deformation, Tensile instability; Creep damage and creep-fatigue interaction; Low and high cycle fatigue damage; Brittle/elastic damage, friction and wear; Ductile/plastic damage, corrosion of metals, alloys; Impact damage, mechanical characterization of composites; Modeling and numerical simulation; lastic-plastic, Wear behavior of composites, metal Metrix composites, hybrid composites, fly ash etc; engine exhaustion Crack and fracture repair Techniques; Keywords"
ijmsmt,"Shaft design and bearing selection; Power transmitting shafts, Solar and electrical heating system; Advanced Vibrations; Tribology and Bearing Design; Bearings, fasteners, springs, brakes and clutches; Computer-Aided Drafting and Electrical Drafting; Micro Station, Inventor, and GeoSoft Montaj drawing; esign tools like finite element analysis, computational fluid dynamics, computer-aided manufacturing"
rts,Traditional Sports; Analyzing the Recent Trends in Sports; Advancements in Technology in Sports; Changes in Rules and Regulations in Sports; Potential Future Trends in Sports; s Impact on Sports; COVID-19 Pandemic on Sports; The emergence of New Sports; Rise of Mixed Martial Arts (MMA); s Sports
etl,Language Acquisition; font-weight; Linguistics; Language Technology; Multilingualism; Language and Society; Language Teaching; Language Policy; Keywords
